SSID,Adr MAC (BSSID),Latitude,Longitude
CONGRES,58:97:BD:CD:93:E1,48.84523317162532,2.3574029791875897
eduroam,58:97:BD:CD:93:E2,48.84523317162532,2.3574029791875897
eduspot,58:97:BD:CD:93:E0,48.84523317162532,2.3574029791875897
iPhone de Fernando,AA:90:DA:E6:BE:D1,48.84523317162532,2.3574029791875897
Bouuuuuuu,06:D4:79:A1:47:00,48.84523317162532,2.3574029791875897
Hidden,58:D9:D5:41:50:48,48.84523317162532,2.3574029791875897
SCAI,58:97:BD:CD:93:E3,48.84523317162532,2.3574029791875897
ISCD,E8:65:D4:72:F9:7C,48.84523317162532,2.3574029791875897
Hidden,DA:47:32:5D:68:60,48.84523317162532,2.3574029791875897
SCAI,58:97:BD:80:CC:B3,48.84523317162532,2.3574029791875897
CONGRES,58:97:BD:80:CC:B1,48.84523317162532,2.3574029791875897
CONGRES,58:97:BD:CD:92:6E,48.84523317162532,2.3574029791875897
eduroam,58:97:BD:80:CC:B2,48.84523317162532,2.3574029791875897
eduspot,58:97:BD:CD:92:6F,48.84523317162532,2.3574029791875897
SCAI,58:97:BD:CD:92:6C,48.84523317162532,2.3574029791875897
eduspot,58:97:BD:80:CC:B0,48.84523317162532,2.3574029791875897
eduroam,58:97:BD:CD:92:6D,48.84523317162532,2.3574029791875897
Hidden,B0:6E:BF:66:91:B8,48.84523317162532,2.3574029791875897
scaiteam,58:D9:D5:41:50:42,48.84523317162532,2.3574029791875897
SCAI,58:97:BD:CD:9C:63,48.84523317162532,2.3574029791875897
CONGRES,58:97:BD:CD:93:EE,48.84523317162532,2.3574029791875897
eduspot,58:97:BD:CD:93:EF,48.84523317162532,2.3574029791875897
ARLO_VMB_9917332886,FC:9C:98:4F:40:16,48.84523317162532,2.3574029791875897
SCAI,58:97:BD:CD:93:EC,48.84523317162532,2.3574029791875897
eduroam,58:97:BD:CD:93:ED,48.84523317162532,2.3574029791875897
eduroam,58:97:BD:CD:9C:6D,48.84523317162532,2.3574029791875897
